Rank,Company Name,Career Page URL,Verified
1,Walmart,https://careers.walmart.com/,Yes
2,Exxon Mobil,https://www.exxonmobil.com/en/career/,Yes
3,Chevron,https://jobs.chevron.com/,Yes
4,Berkshire Hathaway,https://www.berkshirehathaway.com/careers.html,Yes
5,Apple,https://www.apple.com/careers/,Yes
6,General Motors,https://www.gm.com/careers,Yes
7,Phillips 66,https://careers.phillips66.com/,Yes
8,General Electric,https://jobs.ge.com/,Yes
9,Ford Motor,https://www.ford.com/careers/,Yes
10,CVS Health,https://jobs.cvshealth.com/,Yes
11,McKesson,https://careers.mckesson.com/,Yes
12,AT&T,https://www.att.com/careers/,Yes
13,Valero Energy,https://careers.valero.com/,Yes
14,UnitedHealth Group,https://careers.unitedhealthgroup.com/,Yes
15,Verizon,https://www.verizon.com/careers/,Yes
16,AmerisourceBergen,https://careers.amerisourcebergen.com/,Yes
17,Fannie Mae,https://careers.fanniemae.com/,Yes
18,Costco,https://www.costco.com/careers,Yes
19,HP,https://careers.hp.com/,No
20,Kroger,https://www.kroger.com/careers,Yes
21,Amazon,https://www.amazon.jobs/en/,Yes
22,Dell Technologies,https://www.dell.com/en-us/careers,Yes
23,Comcast,https://jobs.comcast.com/,Yes
24,Walgreens,https://www.walgreens.com/careers,Yes
25,Microsoft,https://careers.microsoft.com/,Yes
26,Cardinal Health,https://careers.cardinal-health.com/,No
27,Target,https://www.target.com/careers,Yes
28,Cigna,https://careers.cigna.com/,Yes
29,JPMorgan Chase,https://www.jpmorganchase.com/careers,Yes
30,Home Depot,https://careers.homedepot.com/,Yes
31,Centene,https://careers.centene.com/,Yes
32,Humana,https://careers.humana.com/,Yes
33,MetLife,https://careers.metlife.com/,Yes
34,Bank of America,https://careers.bofa.com/,Yes
35,Boeing,https://www.boeing.com/careers/,Yes
36,Wells Fargo,https://careers.wellsfargo.com/,Yes
37,Albertsons,https://careers.albertsons.com/,Yes
38,Marathon Petroleum,https://careers.marathonpetroleum.com/,Yes
39,Goldman Sachs,https://www.goldmansachs.com/careers,Yes
40,Elevance Health,https://careers.elevancehealth.com/,Yes
41,Cencora,https://www.cencora.com/careers/,Yes
42,Freddie Mac,https://careers.freddiemac.com/,Yes
43,Progressive,https://jobs.progressive.com/,Yes
44,RTX,https://www.rtx.com/careers,Yes
45,United Airlines,https://careers.united.com/,Yes
46,Morgan Stanley,https://careers.morganstanley.com/,Yes
47,Caterpillar,https://careers.caterpillar.com/,Yes
48,Keurig Dr Pepper,https://careers.keurigdrpepper.com/,Yes
49,Thermo Fisher Scientific,https://careers.thermofisher.com/,Yes
50,PepsiCo,https://www.pepsico.com/careers,Yes
51,Merck,https://careers.merck.com/,Yes
52,Danaher,https://careers.danaher.com/,Yes
53,Pfizer,https://careers.pfizer.com/,Yes
54,Eli Lilly,https://careers.lilly.com/,Yes
55,Johnson & Johnson,https://www.jnj.com/careers,Yes
56,AbbVie,https://careers.abbvie.com/,Yes
57,Bristol Myers Squibb,https://careers.bms.com/,Yes
58,Amgen,https://careers.amgen.com/,Yes
59,AstraZeneca,https://careers.astrazeneca.com/,Yes
